contract_ticker,etf,mode,spec,direction,bar_freq,K,n_ylags,wald_chi2,wald_df,p_value,p_fdr,n_obs,n_days,n_active,cov_type,contract_title
KXECKH276,VCR,calendar,linear,etf->kalshi,10min,3,1,2.8330395055547175,3,0.4180898665241589,0.7055266497595182,128,6,126,hac-panel,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VCR,calendar,probit,kalshi->etf,10min,3,0,4.203271168970179,3,0.24033458319162013,0.5858877540188221,126,6,8,hac-panel,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VCR,event,linear,kalshi->etf,10min,3,0,1.9110322233254133,3,0.5910760198028779,0.8363260413080325,15,1,7,hac-panel,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VCR,event,linear,etf->kalshi,10min,3,3,39.90854718397082,3,1.1141457682634232e-08,1.0357072042840282e-07,15,1,14,hac-panel,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VCR,event,probit,kalshi->etf,10min,3,0,1.0947780917878975,3,0.7783348203351694,0.8950850433854449,14,1,7,hac-panel,"Will Harris win 276-262 - PA, NV, MI, WI?"
FEDDECISION-24SEP-C25,VDC,calendar,linear,kalshi->etf,2min,8,1,7.498998517872028,8,0.483870889381973,0.6532257006656635,1994,11,289,hac-panel,Will the Federal Reserve Cut rates by 25bps at their September 2024 meeting?
FEDDECISION-24SEP-C25,VDC,calendar,linear,etf->kalshi,2min,8,4,5.074168667478652,8,0.7496202740198383,0.8282388447493002,1994,11,1932,hac-panel,Will the Federal Reserve Cut rates by 25bps at their September 2024 meeting?
FEDDECISION-24SEP-C25,VDC,calendar,probit,kalshi->etf,2min,8,1,6.438016817910848,8,0.5982907357367839,0.7023412984736159,1932,11,280,hac-panel,Will the Federal Reserve Cut rates by 25bps at their September 2024 meeting?
FEDDECISION-24SEP-C25,VDC,event,linear,kalshi->etf,2min,8,0,8.726843864109329,8,0.3658605539817596,0.6074994312025691,393,10,250,hac-panel,Will the Federal Reserve Cut rates by 25bps at their September 2024 meeting?
FEDDECISION-24SEP-C25,VDC,event,linear,etf->kalshi,2min,8,2,5.140669878575317,8,0.742440806111718,0.779562846417304,393,10,386,hac-panel,Will the Federal Reserve Cut rates by 25bps at their September 2024 meeting?
FEDDECISION-24SEP-C25,VDC,event,probit,kalshi->etf,2min,8,1,22.281995651432297,8,0.0044194024010329935,0.022503931456925003,385,10,245,hac-panel,Will the Federal Reserve Cut rates by 25bps at their September 2024 meeting?
KXECKH276,VDE,calendar,linear,kalshi->etf,10min,3,1,33.541097632311796,3,2.476196540507268e-07,6.685730659369624e-06,128,6,8,hac-panel,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VDE,calendar,linear,etf->kalshi,10min,3,1,2.8579969818803197,3,0.41404135411851994,0.7055266497595182,128,6,126,hac-panel,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VDE,calendar,probit,kalshi->etf,10min,3,1,8.509059485959826,3,0.03658311030808304,0.2134352427001712,126,6,8,hac-panel,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VDE,event,linear,kalshi->etf,10min,3,0,13.362709620518656,3,0.0039144085105230104,0.016440515744196645,15,1,7,hac-panel,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VDE,event,linear,etf->kalshi,10min,3,3,9.46908917731624,3,0.02366248358076923,0.09938243103923076,15,1,15,hac-panel,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VDE,event,probit,kalshi->etf,10min,3,1,4.587939519782341,3,0.2045791353058351,0.4716723791601424,15,1,8,hac-panel,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VOX,calendar,linear,kalshi->etf,10min,3,1,11.976245162005194,3,0.0074649791145465225,0.033592406015459354,128,6,8,hac-panel,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VOX,calendar,linear,etf->kalshi,10min,3,1,4.2581189475479455,3,0.23490711076163293,0.7055266497595182,128,6,127,hac-panel,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VOX,calendar,probit,kalshi->etf,10min,3,0,9.683706099405923,3,0.02145524461062681,0.1930972014956413,127,6,8,hac-panel,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VOX,event,linear,kalshi->etf,10min,3,0,3.1026276679750406,3,0.3760710764587333,0.6074994312025691,15,1,7,hac-panel,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VOX,event,linear,etf->kalshi,10min,3,3,0.7419220610899636,3,0.8633019134772342,0.8633019134772342,15,1,15,hac-panel,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VOX,event,probit,kalshi->etf,10min,3,0,3.355215572923752,3,0.34003130474461396,0.6517266674271768,15,1,8,hac-panel,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VGT,calendar,linear,kalshi->etf,10min,3,0,2.195631808594211,3,0.5328092811302048,0.6850405043102632,128,6,8,hac-panel,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VGT,calendar,linear,etf->kalshi,10min,3,1,3.268395031987151,3,0.35206574692669074,0.7055266497595182,128,6,128,hac-panel,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VGT,calendar,probit,kalshi->etf,10min,3,0,1.337454313603478,3,0.7202589727392206,0.8102913443316232,128,6,8,hac-panel,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VGT,event,linear,kalshi->etf,10min,3,0,36.213938254727395,3,6.747645612058876e-08,4.7233519284412136e-07,15,1,7,hac-panel,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VGT,event,linear,etf->kalshi,10min,3,3,8.502720515357309,3,0.03668800615061465,0.11006401845184395,15,1,15,hac-panel,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VGT,event,probit,kalshi->etf,10min,3,0,4.35512652595131,3,0.2255824422070246,0.4716723791601424,15,1,8,hac-panel,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VDC,calendar,linear,kalshi->etf,10min,3,0,3.5496535747492577,3,0.314379089243335,0.5305147130981279,128,6,8,hac-panel,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VDC,calendar,linear,etf->kalshi,10min,3,1,1.7191836162846068,3,0.6326772944334467,0.7794180168156319,128,6,126,hac-panel,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VDC,calendar,probit,kalshi->etf,10min,3,0,3.6357964721263367,3,0.3035721307250596,0.5858877540188221,126,6,8,hac-panel,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VDC,event,linear,kalshi->etf,10min,3,0,0.8243817798483257,3,0.8436267824645186,0.9324296016713101,15,1,7,hac-panel,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VDC,event,linear,etf->kalshi,10min,3,3,39.32722073658687,3,1.4795817204057544e-08,1.0357072042840282e-07,15,1,15,hac-panel,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VDC,event,probit,kalshi->etf,10min,3,0,2.0376108708630647,3,0.5646372388932523,0.8110150394641389,15,1,8,hac-panel,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECDJT316,VIS,calendar,linear,kalshi->etf,10min,4,0,6.452580003257301,4,0.1678028565435076,0.323619794762479,177,7,15,hac-panel,"Will Trump win 316-222 - AZ, GA, MI, MN, NC, PA, WI?"
KXECDJT316,VIS,calendar,linear,etf->kalshi,10min,4,1,6.09397172497596,4,0.19223946127164832,0.7055266497595182,177,7,176,hac-panel,"Will Trump win 316-222 - AZ, GA, MI, MN, NC, PA, WI?"
KXECDJT316,VIS,calendar,probit,kalshi->etf,10min,4,2,10.054168168947637,4,0.039525044944476145,0.2134352427001712,176,7,16,hac-panel,"Will Trump win 316-222 - AZ, GA, MI, MN, NC, PA, WI?"
KXECDJT316,VDE,calendar,linear,kalshi->etf,10min,4,1,14.186558573342186,4,0.006722835344998712,0.033592406015459354,177,7,15,hac-panel,"Will Trump win 316-222 - AZ, GA, MI, MN, NC, PA, WI?"
KXECDJT316,VDE,calendar,linear,etf->kalshi,10min,4,1,3.4279302129619,4,0.4889209778711836,0.7410574112160431,177,7,173,hac-panel,"Will Trump win 316-222 - AZ, GA, MI, MN, NC, PA, WI?"
KXECDJT316,VDE,calendar,probit,kalshi->etf,10min,4,1,7.215304182582599,4,0.1249384988732597,0.42904612354610844,173,7,15,hac-panel,"Will Trump win 316-222 - AZ, GA, MI, MN, NC, PA, WI?"
KXECKH276,VAW,calendar,linear,kalshi->etf,10min,3,1,11.60002864938335,3,0.008886770951632665,0.034277545099154566,128,6,8,hac-panel,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VAW,calendar,linear,etf->kalshi,10min,3,1,3.3683383921962387,3,0.3382439065561665,0.7055266497595182,128,6,126,hac-panel,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VAW,calendar,probit,kalshi->etf,10min,3,0,2.9065286854967574,3,0.4062622613594854,0.5858877540188221,126,6,8,hac-panel,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VAW,event,linear,kalshi->etf,10min,3,3,7.998476311782478,3,0.04604320622938951,0.10743414786857552,15,1,7,hac-panel,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VAW,event,linear,etf->kalshi,10min,3,3,8.753508836901116,3,0.032754147443252,0.11006401845184395,15,1,15,hac-panel,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VAW,event,probit,kalshi->etf,10min,3,3,67.80477874726964,3,1.2595593245962562e-14,2.8969864465713894e-13,15,1,8,hac-panel,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECDJT281,VNQ,calendar,linear,kalshi->etf,5min,5,1,7.8498608767967495,5,0.16470651155943017,0.323619794762479,547,11,55,hac-panel,"Will Trump win 281-257 - AZ, GA, NC, PA?"
KXECDJT281,VNQ,calendar,linear,etf->kalshi,5min,5,2,7.396789157350269,5,0.19276303790126384,0.7055266497595182,547,11,513,hac-panel,"Will Trump win 281-257 - AZ, GA, NC, PA?"
KXECDJT281,VNQ,calendar,probit,kalshi->etf,5min,5,0,15.886176384532945,5,0.007176671813535365,0.09688506948272743,513,11,54,hac-panel,"Will Trump win 281-257 - AZ, GA, NC, PA?"
KXECDJT281,VNQ,event,linear,kalshi->etf,5min,5,0,34.3571575835491,5,2.021277676725833e-06,1.0611707802810624e-05,77,4,44,hac-panel,"Will Trump win 281-257 - AZ, GA, NC, PA?"
KXECDJT281,VNQ,event,linear,etf->kalshi,5min,5,2,3.9004915735520864,5,0.5638299753522007,0.7659348942614546,77,4,72,hac-panel,"Will Trump win 281-257 - AZ, GA, NC, PA?"
KXECDJT281,VNQ,event,probit,kalshi->etf,5min,5,0,2.590699943048947,5,0.7627777887622827,0.8950850433854449,71,4,40,hac-panel,"Will Trump win 281-257 - AZ, GA, NC, PA?"
FEDDECISION-24SEP-C25,VOX,calendar,linear,kalshi->etf,2min,8,1,10.947913003524048,8,0.20466802444529367,0.3684024440015286,1994,11,289,hac-panel,Will the Federal Reserve Cut rates by 25bps at their September 2024 meeting?
FEDDECISION-24SEP-C25,VOX,calendar,linear,etf->kalshi,2min,8,4,5.439839875439902,8,0.7096957286264571,0.8282388447493002,1994,11,1924,hac-panel,Will the Federal Reserve Cut rates by 25bps at their September 2024 meeting?
FEDDECISION-24SEP-C25,VOX,calendar,probit,kalshi->etf,2min,8,1,8.141383179570504,8,0.4197827617199998,0.5858877540188221,1923,11,280,hac-panel,Will the Federal Reserve Cut rates by 25bps at their September 2024 meeting?
FEDDECISION-24SEP-C25,VOX,event,linear,kalshi->etf,2min,8,0,3.6291434335660777,8,0.8889390280504194,0.9333859794529403,393,10,250,hac-panel,Will the Federal Reserve Cut rates by 25bps at their September 2024 meeting?
FEDDECISION-24SEP-C25,VOX,event,linear,etf->kalshi,2min,8,2,6.081129477900938,8,0.6381445165133124,0.7659348942614546,393,10,382,hac-panel,Will the Federal Reserve Cut rates by 25bps at their September 2024 meeting?
FEDDECISION-24SEP-C25,VOX,event,probit,kalshi->etf,2min,8,1,12.732149461085708,8,0.12140384319173067,0.34903604917622566,381,10,243,hac-panel,Will the Federal Reserve Cut rates by 25bps at their September 2024 meeting?
FEDDECISION-24SEP-C25,VPU,calendar,linear,kalshi->etf,2min,8,6,3.7507098796557266,8,0.8788857989592685,0.9383231651734041,1994,11,289,hac-panel,Will the Federal Reserve Cut rates by 25bps at their September 2024 meeting?
FEDDECISION-24SEP-C25,VPU,calendar,linear,etf->kalshi,2min,8,4,6.5276420871920235,8,0.5883432270644815,0.7794180168156319,1994,11,1930,hac-panel,Will the Federal Reserve Cut rates by 25bps at their September 2024 meeting?
FEDDECISION-24SEP-C25,VPU,calendar,probit,kalshi->etf,2min,8,1,10.045219597031993,8,0.2618664306960587,0.5858877540188221,1930,11,277,hac-panel,Will the Federal Reserve Cut rates by 25bps at their September 2024 meeting?
FEDDECISION-24SEP-C25,VPU,event,linear,kalshi->etf,2min,8,2,4.2282241866563,8,0.8359674789027913,0.9324296016713101,393,10,250,hac-panel,Will the Federal Reserve Cut rates by 25bps at their September 2024 meeting?
FEDDECISION-24SEP-C25,VPU,event,linear,etf->kalshi,2min,8,2,6.966808196934206,8,0.5402180304058628,0.7659348942614546,393,10,384,hac-panel,Will the Federal Reserve Cut rates by 25bps at their September 2024 meeting?
FEDDECISION-24SEP-C25,VPU,event,probit,kalshi->etf,2min,8,0,6.111823966271693,8,0.6347074221893261,0.8110150394641389,383,10,245,hac-panel,Will the Federal Reserve Cut rates by 25bps at their September 2024 meeting?
KXECDJT281,VOX,calendar,linear,kalshi->etf,5min,5,1,7.936905113106514,5,0.1597473629048395,0.323619794762479,547,11,55,hac-panel,"Will Trump win 281-257 - AZ, GA, NC, PA?"
KXECDJT281,VOX,calendar,linear,etf->kalshi,5min,5,2,2.5635998607032535,5,0.766887819212315,0.8282388447493002,547,11,527,hac-panel,"Will Trump win 281-257 - AZ, GA, NC, PA?"
KXECDJT281,VOX,calendar,probit,kalshi->etf,5min,5,0,4.321777859163016,5,0.5040768805332894,0.6480988463999434,524,11,56,hac-panel,"Will Trump win 281-257 - AZ, GA, NC, PA?"
KXECDJT281,VOX,event,linear,kalshi->etf,5min,5,2,3.673075767768923,5,0.5973757437914518,0.8363260413080325,77,4,44,hac-panel,"Will Trump win 281-257 - AZ, GA, NC, PA?"
KXECDJT281,VOX,event,linear,etf->kalshi,5min,5,2,3.0453852925977447,5,0.6929887138556018,0.7659348942614546,77,4,76,hac-panel,"Will Trump win 281-257 - AZ, GA, NC, PA?"
KXECDJT281,VOX,event,probit,kalshi->etf,5min,5,0,4.881776586596236,5,0.43047820222510214,0.7616152808597961,75,4,43,hac-panel,"Will Trump win 281-257 - AZ, GA, NC, PA?"
KXECDJT306,VDC,calendar,linear,kalshi->etf,10min,4,1,10.630304052564645,4,0.031048642327145295,0.10478916785411538,317,13,23,hac-panel,"Will Trump win 306-232 - AZ, GA, MI, PA, WI, NC?"
KXECDJT306,VDC,calendar,linear,etf->kalshi,10min,4,3,4.507989230134091,4,0.3416012147080061,0.7055266497595182,317,13,311,hac-panel,"Will Trump win 306-232 - AZ, GA, MI, PA, WI, NC?"
KXECDJT306,VDC,calendar,probit,kalshi->etf,10min,4,1,3.798297669953153,4,0.4339909289028312,0.5858877540188221,311,13,25,hac-panel,"Will Trump win 306-232 - AZ, GA, MI, PA, WI, NC?"
KXECDJT306,VDC,event,linear,kalshi->etf,10min,4,0,51.175593122434364,4,2.0513676218929613e-10,4.307872005975219e-09,21,2,17,hac-panel,"Will Trump win 306-232 - AZ, GA, MI, PA, WI, NC?"
KXECDJT306,VDC,event,linear,etf->kalshi,10min,4,0,7.349915533384462,4,0.11851240529469015,0.24887605111884933,21,2,21,hac-panel,"Will Trump win 306-232 - AZ, GA, MI, PA, WI, NC?"
KXECDJT306,VDC,event,probit,kalshi->etf,10min,4,0,8.2186791094603,4,0.0838882767163331,0.27563290921080874,21,2,17,hac-panel,"Will Trump win 306-232 - AZ, GA, MI, PA, WI, NC?"
KXECDJT281,VGT,calendar,linear,kalshi->etf,5min,5,2,3.35527564786669,5,0.6453902172898942,0.7271794216686704,547,11,55,hac-panel,"Will Trump win 281-257 - AZ, GA, NC, PA?"
KXECDJT281,VGT,calendar,linear,etf->kalshi,5min,5,2,3.4229213026427456,5,0.6350813470349593,0.7794180168156319,547,11,545,hac-panel,"Will Trump win 281-257 - AZ, GA, NC, PA?"
KXECDJT281,VGT,calendar,probit,kalshi->etf,5min,5,1,5.508159283522508,5,0.3570520153125375,0.5858877540188221,545,11,57,hac-panel,"Will Trump win 281-257 - AZ, GA, NC, PA?"
KXECDJT281,VGT,event,linear,kalshi->etf,5min,5,0,2.4668469757732794,5,0.7814794948858912,0.9324296016713101,77,4,44,hac-panel,"Will Trump win 281-257 - AZ, GA, NC, PA?"
KXECDJT281,VGT,event,linear,etf->kalshi,5min,5,2,3.693924659106694,5,0.5942683226531054,0.7659348942614546,77,4,77,hac-panel,"Will Trump win 281-257 - AZ, GA, NC, PA?"
KXECDJT281,VGT,event,probit,kalshi->etf,5min,5,0,1.4822652644529661,5,0.9151072798398521,0.9668832145669456,77,4,44,hac-panel,"Will Trump win 281-257 - AZ, GA, NC, PA?"
KXECDJT312,VAW,calendar,linear,kalshi->etf,10min,5,1,0.9117609118892603,5,0.9693643529267817,0.9693643529267817,388,18,47,hac-panel,Will Trump win 312-226 - swing state sweep?
KXECDJT312,VAW,calendar,linear,etf->kalshi,10min,5,1,7.418994897348761,5,0.19129683775652082,0.7055266497595182,388,18,382,hac-panel,Will Trump win 312-226 - swing state sweep?
KXECDJT312,VAW,calendar,probit,kalshi->etf,10min,5,0,2.2362482117976903,5,0.8155832024155135,0.8808298586087546,381,18,45,hac-panel,Will Trump win 312-226 - swing state sweep?
KXECDJT312,VAW,event,linear,kalshi->etf,10min,5,0,48.20022562449764,5,3.2328570988872632e-09,3.3944999538316265e-08,48,4,37,hac-panel,Will Trump win 312-226 - swing state sweep?
KXECDJT312,VAW,event,linear,etf->kalshi,10min,5,2,3.252877953149794,5,0.66106340589318,0.7659348942614546,48,4,47,hac-panel,Will Trump win 312-226 - swing state sweep?
KXECDJT312,VAW,event,probit,kalshi->etf,10min,5,1,23.797903814379946,5,0.00023741140319212003,0.0027302311367093804,47,4,35,hac-panel,Will Trump win 312-226 - swing state sweep?
KXECDJT281,VCR,calendar,linear,kalshi->etf,5min,5,1,1.5807243764269658,5,0.9035704553521668,0.9383231651734041,547,11,55,hac-panel,"Will Trump win 281-257 - AZ, GA, NC, PA?"
KXECDJT281,VCR,calendar,linear,etf->kalshi,5min,5,2,1.8469051470044247,5,0.8698970598303881,0.8776513589912174,547,11,544,hac-panel,"Will Trump win 281-257 - AZ, GA, NC, PA?"
KXECDJT281,VCR,calendar,probit,kalshi->etf,5min,5,1,0.6215139474247742,5,0.9869970394921197,0.9869970394921197,543,11,56,hac-panel,"Will Trump win 281-257 - AZ, GA, NC, PA?"
KXECDJT281,VCR,event,linear,kalshi->etf,5min,5,0,6.084466685569061,5,0.29808651185851764,0.5690742499117155,77,4,44,hac-panel,"Will Trump win 281-257 - AZ, GA, NC, PA?"
KXECDJT281,VCR,event,linear,etf->kalshi,5min,5,2,9.366662929904914,5,0.09530304696986443,0.22237377626301702,77,4,76,hac-panel,"Will Trump win 281-257 - AZ, GA, NC, PA?"
KXECDJT281,VCR,event,probit,kalshi->etf,5min,5,0,4.086930019187407,5,0.5369693270690685,0.8110150394641389,76,4,43,hac-panel,"Will Trump win 281-257 - AZ, GA, NC, PA?"
KXFEDDECISION-24DEC-C25,VFH,calendar,linear,kalshi->etf,5min,10,1,16.672181728746573,10,0.08193985392775294,0.22123760560493294,2137,33,414,hac-panel,Will the Federal Reserve Cut rates by 25bps at their December 2024 meeting?
KXFEDDECISION-24DEC-C25,VFH,calendar,linear,etf->kalshi,5min,10,1,9.406171610771738,10,0.4940382741440287,0.7410574112160431,2137,33,2043,hac-panel,Will the Federal Reserve Cut rates by 25bps at their December 2024 meeting?
KXFEDDECISION-24DEC-C25,VFH,calendar,probit,kalshi->etf,5min,10,1,11.311260908300998,10,0.33378765085655693,0.5858877540188221,2036,33,405,hac-panel,Will the Federal Reserve Cut rates by 25bps at their December 2024 meeting?
KXFEDDECISION-24DEC-C25,VFH,event,linear,kalshi->etf,5min,10,0,23.438497503212787,10,0.009238754678660725,0.025949397018455393,501,28,301,hac-panel,Will the Federal Reserve Cut rates by 25bps at their December 2024 meeting?
KXFEDDECISION-24DEC-C25,VFH,event,linear,etf->kalshi,5min,10,6,14.469281691266577,10,0.1526419158454128,0.29140729388669717,501,28,486,hac-panel,Will the Federal Reserve Cut rates by 25bps at their December 2024 meeting?
KXFEDDECISION-24DEC-C25,VFH,event,probit,kalshi->etf,5min,10,0,17.362455824739207,10,0.0667187262895681,0.2557551174433444,478,28,296,hac-panel,Will the Federal Reserve Cut rates by 25bps at their December 2024 meeting?
AAAGASM-24OCT31-US-3.15,VPU,calendar,linear,kalshi->etf,10min,3,1,15.125426543280069,3,0.0017125405360152726,0.01155964861810309,312,14,12,hac-panel,Will average **gas prices** be above $3.15?
AAAGASM-24OCT31-US-3.15,VPU,calendar,linear,etf->kalshi,10min,3,2,1.9726113388543975,3,0.5781107401116836,0.7794180168156319,312,14,307,hac-panel,Will average **gas prices** be above $3.15?
AAAGASM-24OCT31-US-3.15,VPU,calendar,probit,kalshi->etf,10min,3,1,6.874076537089322,3,0.0760215441505156,0.3420969486773202,308,14,12,hac-panel,Will average **gas prices** be above $3.15?
FEDDECISION-24NOV-H0,VDE,calendar,linear,kalshi->etf,10min,6,0,6.24837380655683,6,0.3959501237962231,0.5939251856943346,901,36,97,hac-panel,Will the Federal Reserve Hike rates by 0bps at their November 2024 meeting?
FEDDECISION-24NOV-H0,VDE,calendar,linear,etf->kalshi,10min,6,0,6.366040755061287,6,0.38345870291977235,0.7055266497595182,901,36,886,hac-panel,Will the Federal Reserve Hike rates by 0bps at their November 2024 meeting?
FEDDECISION-24NOV-H0,VDE,calendar,probit,kalshi->etf,10min,6,1,6.031645154527996,6,0.41965452684729826,0.5858877540188221,884,36,93,hac-panel,Will the Federal Reserve Hike rates by 0bps at their November 2024 meeting?
FEDDECISION-24NOV-H0,VDE,event,probit,kalshi->etf,10min,6,0,4.561629879391231,6,0.6011326614600481,0.8110150394641389,42,12,25,default,Will the Federal Reserve Hike rates by 0bps at their November 2024 meeting?
FEDDECISION-24NOV-H0,VNQ,calendar,linear,kalshi->etf,10min,6,0,9.749236493959073,6,0.13561721053195103,0.323619794762479,901,36,97,hac-panel,Will the Federal Reserve Hike rates by 0bps at their November 2024 meeting?
FEDDECISION-24NOV-H0,VNQ,calendar,linear,etf->kalshi,10min,6,0,13.44838682089562,6,0.03644307105415044,0.7055266497595182,901,36,872,hac-panel,Will the Federal Reserve Hike rates by 0bps at their November 2024 meeting?
